date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:11:15	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Dec%202016%2022:50:34%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/fonts/fontawesome-webfont.eot?	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/css/font-awesome.min.css)
18:11:17	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:11:15%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from http://designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/css/font-awesome.min.css)
18:11:28	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2024%20May%202014%2008:01:42%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/themify/font/themify.eot?-fvbane	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/themify/font/themify9f24.eot	(from http://designstream.co.in/templates/html/job-express/assets/plugins/themify/themify-icons.css)
18:11:28	56108/56108	---M--	200	added ('OK')	font/woff	date:Sat,%2024%20May%202014%2008:01:42%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/themify/font/themify.woff?-fvbane	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/themify/font/themify9f24.woff	(from http://designstream.co.in/templates/html/job-express/assets/plugins/themify/themify-icons.css)
18:11:29	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2024%20May%202014%2008:01:42%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/themify/font/themify.eot?	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/themify/font/themifyd41d.eot	(from http://designstream.co.in/templates/html/job-express/assets/plugins/themify/themify-icons.css)
18:11:29	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:11:28%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/themify/font/themify.eot?-fvbane	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/themify/font/themify9f24.eot	(from http://designstream.co.in/templates/html/job-express/assets/plugins/themify/themify-icons.css)
18:11:33	165548/165548	---M--	200	added ('OK')	font/ttf	date:Thu,%2022%20Dec%202016%2022:50:34%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from http://designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/css/font-awesome.min.css)
18:11:33	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:11:29%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/themify/font/themify.woff?-fvbane	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/themify/font/themify9f24.woff	(from http://designstream.co.in/templates/html/job-express/assets/plugins/themify/themify-icons.css)
18:11:33	234269/234269	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2024%20May%202014%2008:01:42%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/themify/font/themify.svg?-fvbane	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/themify/font/themify9f24.svg	(from http://designstream.co.in/templates/html/job-express/assets/plugins/themify/themify-icons.css)
18:11:42	78584/78584	---M--	200	added ('OK')	font/ttf	date:Sat,%2024%20May%202014%2008:01:42%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/themify/font/themify.ttf?-fvbane	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/themify/font/themify9f24.ttf	(from http://designstream.co.in/templates/html/job-express/assets/plugins/themify/themify-icons.css)
18:11:45	2522/2522	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Apr%202017%2022:15:06%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/home/quote.png	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/home/quote.png	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:12:43	368094/368094	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Apr%202017%2020:19:16%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/home/bg2.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/home/bg2.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:12:48	396045/396045	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Apr%202017%2019:26:20%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/home/bg.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/home/bg.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:13:01	87650/87650	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Apr%202017%2023:28:44%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/home/footer-bg.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/home/footer-bg.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:13:08	462506/462506	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Apr%202017%2022:58:20%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/home/man.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/home/man.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:13:10	2312/2312	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Apr%202017%2023:08:56%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/about/text-sep.png	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/about/text-sep.png	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:13:30	227495/227495	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Apr%202017%2019:28:56%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/login/banner_bg.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/login/banner_bg.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:13:40	157318/157318	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Apr%202017%2001:08:42%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/about/banner.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/about/banner.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:13:59	158459/158459	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202017%2000:52:52%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/listing-banner.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/listing-banner.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:14:04	340874/340874	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Apr%202017%2023:07:18%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/about/about-banner.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/about/about-banner.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:14:20	943349/943349	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Apr%202017%2000:10:50%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/home/site-banner.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/home/site-banner.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:14:21	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:14:20%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/home/bg.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/home/bg.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:14:23	22407/22407	---M--	200	added ('OK')	text/html	date:Mon,%2008%20May%202017%2023:27:26%20GMT	http://designstream.co.in/templates/html/job-express/manage_application.html	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/manage_application.html	(from http://designstream.co.in/templates/html/job-express/)
18:14:24	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:14:23%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/home/bg2.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/home/bg2.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:14:26	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:14:24%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/home/quote.png	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/home/quote.png	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
